,event,event type,frequency,start time,end time,time segment,quasi case id,related object
0,high demand of products: Fire Stick,hd,921,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,,Fire Stick
1,high demand of employees: Marco Pegoraro,hd,542,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,,Marco Pegoraro
2,high demand of customers: SwissPeak Timepieces AG,hd,93,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,,SwissPeak Timepieces AG
3,high load of object type orders,hl,555,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,,orders
4,high load of object type items,hl,2268,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,,items
5,high load of object type packages,hl,300,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,,packages
6,high load (over all object types),hol,5721,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,,
7,object type packages leaves the process in activity package delivered,tl,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,2.0,packages
8,object type items leaves the process in activity package delivered,tl,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,2.0,items
9,object Echo Plus leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,2.0,Echo Plus
10,object Alessandro Berti leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,2.0,Alessandro Berti
11,object iPad leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,2.0,iPad
12,object Gyunam Park leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,Gyunam Park
13,object type orders leaves the process in activity confirm order,tl,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,orders
14,object Mara Nitschke leaves the process in activity confirm order,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,Mara Nitschke
15,object MacBook Air leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,MacBook Air
16,object Viki Peeva leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,Viki Peeva
17,object MacBook Pro leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,MacBook Pro
18,object Christopher Schwanen leaves the process in activity pick item,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,Christopher Schwanen
19,"high lagging time of object ['Echo Dot', 'iPhone 8'] for activity place order",lt,5 days 02:15:10,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,"['Echo Dot', 'iPhone 8']"
20,"object join in activity place order with objects ['Echo Dot', 'iPhone 8', 'Eastern Oak Insurance Zrt.']",j,3,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,"['Echo Dot', 'iPhone 8', 'Eastern Oak Insurance Zrt.']"
21,high lagging time of object ['Yisong Zhang'] for activity send package,lt,52 days 02:52:35,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,['Yisong Zhang']
22,"object join in activity send package with objects ['Yisong Zhang', 'Echo Show 5', 'Echo Show 8', 'Echo Studio', 'Fire Stick', 'iPad Air', 'iPad Pro', 'iPhone 11', 'iPhone X', 'Kindle Paperwhite']",j,10,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,10.0,"['Yisong Zhang', 'Echo Show 5', 'Echo Show 8', 'Echo Studio', 'Fire Stick', 'iPad Air', 'iPad Pro', 'iPhone 11', 'iPhone X', 'Kindle Paperwhite']"
23,object Fire Stick leaves the process in activity reorder item,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,Fire Stick
24,"object split in activity confirm order with objects ['Fire Stick 4K', 'iPhone 8']",s,2,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,"['Fire Stick 4K', 'iPhone 8']"
25,object Fire Stick 4K leaves the process in activity failed delivery,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,Fire Stick 4K
26,object Echo leaves the process in activity failed delivery,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,Echo
27,object Kindle leaves the process in activity failed delivery,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,Kindle
28,object Gyunam Park leaves the process in activity failed delivery,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,Gyunam Park
29,"high lagging time of object ['Echo', 'Echo Show 5', 'Kindle', 'iPad', 'iPhone 11'] for activity failed delivery",lt,0 days 14:37:18,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,"['Echo', 'Echo Show 5', 'Kindle', 'iPad', 'iPhone 11']"
30,high lagging time of object ['Gyunam Park'] for activity failed delivery,lt,0 days 14:37:18,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,['Gyunam Park']
31,"object join in activity failed delivery with objects ['Echo', 'Echo Show 5', 'Kindle', 'iPad', 'iPhone 11', 'Fire Stick 4K']",j,6,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,"['Echo', 'Echo Show 5', 'Kindle', 'iPad', 'iPhone 11', 'Fire Stick 4K']"
32,high lagging time of object ['Nina Graves'] for activity pick item,lt,0 days 02:10:50,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,['Nina Graves']
33,"object join in activity pick item with objects ['Nina Graves', 'iPhone 11 Pro']",j,2,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,"['Nina Graves', 'iPhone 11 Pro']"
34,high lagging time of object ['Leah Tacke genannt Unterberg'] for activity pick item,lt,3 days 22:27:14,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,['Leah Tacke genannt Unterberg']
35,"object join in activity pick item with objects ['Leah Tacke genannt Unterberg', 'iPhone X']",j,2,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,"['Leah Tacke genannt Unterberg', 'iPhone X']"
36,"high lagging time of object ['Echo Show 5', 'iPad', 'iPhone 11'] for activity pay order",lt,0 days 00:00:00,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,"['Echo Show 5', 'iPad', 'iPhone 11']"
37,high lagging time of object ['iPhone 8'] for activity pick item,lt,0 days 00:01:27,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,['iPhone 8']
38,"object join in activity pick item with objects ['iPhone 8', 'Benedikt Knopp']",j,2,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,11.0,"['iPhone 8', 'Benedikt Knopp']"
39,"object split in activity failed delivery with objects ['Echo Show 5', 'MacBook Pro', 'Echo', 'Echo Show 5', 'Fire Stick 4K', 'MacBook Air', 'MacBook Pro', 'iPhone 11 Pro', 'iPhone X']",s,9,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,"['Echo Show 5', 'MacBook Pro', 'Echo', 'Echo Show 5', 'Fire Stick 4K', 'MacBook Air', 'MacBook Pro', 'iPhone 11 Pro', 'iPhone X']"
40,object Marco Pegoraro leaves the process in activity reorder item,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,Marco Pegoraro
41,object Benedikt Knopp leaves the process in activity reorder item,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,Benedikt Knopp
42,"high lagging time of object ['Echo Show 5', 'MacBook Pro'] for activity pay order",lt,0 days 00:00:00,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,"['Echo Show 5', 'MacBook Pro']"
43,"high lagging time of object ['Echo', 'Fire Stick 4K', 'MacBook Air', 'iPhone 11 Pro', 'iPhone X'] for activity failed delivery",lt,0 days 23:23:22,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,"['Echo', 'Fire Stick 4K', 'MacBook Air', 'iPhone 11 Pro', 'iPhone X']"
44,high lagging time of object ['Majid Rafiei'] for activity failed delivery,lt,0 days 23:23:22,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,['Majid Rafiei']
45,"object join in activity failed delivery with objects ['Echo', 'Fire Stick 4K', 'MacBook Air', 'iPhone 11 Pro', 'iPhone X', 'Echo Show 8', 'Echo Plus', 'Echo Show 5', 'MacBook Pro']",j,9,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,"['Echo', 'Fire Stick 4K', 'MacBook Air', 'iPhone 11 Pro', 'iPhone X', 'Echo Show 8', 'Echo Plus', 'Echo Show 5', 'MacBook Pro']"
46,"high lagging time of object ['Echo', 'Echo Plus', 'Echo Show 5', 'Echo Show 8', 'Fire Stick 4K', 'MacBook Air', 'MacBook Pro', 'iPhone 11 Pro', 'iPhone X'] for activity package delivered",lt,0 days 00:00:00,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,"['Echo', 'Echo Plus', 'Echo Show 5', 'Echo Show 8', 'Fire Stick 4K', 'MacBook Air', 'MacBook Pro', 'iPhone 11 Pro', 'iPhone X']"
47,high lagging time of object ['Majid Rafiei'] for activity package delivered,lt,0 days 00:00:00,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,['Majid Rafiei']
48,high lagging time of object ['Leah Tacke genannt Unterberg'] for activity reorder item,lt,2 days 23:53:18,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,['Leah Tacke genannt Unterberg']
49,"object join in activity reorder item with objects ['Leah Tacke genannt Unterberg', 'iPad Air']",j,2,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,14.0,"['Leah Tacke genannt Unterberg', 'iPad Air']"
50,object iPad mini leaves the process in activity pay order,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,iPad mini
51,object Mara Nitschke leaves the process in activity confirm order,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,Mara Nitschke
52,object MacBook Air leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,MacBook Air
53,object Echo Show 8 leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,Echo Show 8
54,object Viki Peeva leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,Viki Peeva
55,object Kindle Paperwhite leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,Kindle Paperwhite
56,object iPhone 8 leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,iPhone 8
57,high lagging time of object ['Echo Dot'] for activity place order,lt,0 days 22:58:19,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,['Echo Dot']
58,"object join in activity place order with objects ['Echo Dot', 'Golden Fleece Textiles S.A.R.L.', 'Fire Stick', 'Kindle', 'MacBook Pro', 'iPad Air', 'iPhone 11 Pro']",j,7,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,16.0,"['Echo Dot', 'Golden Fleece Textiles S.A.R.L.', 'Fire Stick', 'Kindle', 'MacBook Pro', 'iPad Air', 'iPhone 11 Pro']"
59,object Detlef Wetzeler leaves the process in activity pick item,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,Detlef Wetzeler
60,object Echo Studio leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,Echo Studio
61,object Eduardo Goulart Rocha leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,Eduardo Goulart Rocha
62,object Echo Show 8 leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,Echo Show 8
63,object Kindle Paperwhite leaves the process in activity package delivered,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,Kindle Paperwhite
64,"object split in activity confirm order with objects ['iPad', 'Echo Dot']",s,2,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,"['iPad', 'Echo Dot']"
65,object Nina Graves leaves the process in activity pick item,ol,1,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,Nina Graves
66,high lagging time of object ['Christopher Schwanen'] for activity reorder item,lt,3 days 04:52:39,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,['Christopher Schwanen']
67,"object join in activity reorder item with objects ['Christopher Schwanen', 'iPad']",j,2,2023-07-19 14:09:15.249999985,2023-07-20 14:10:23.074766340,108,17.0,"['Christopher Schwanen', 'iPad']"
