,event,event type,frequency,start time,end time,time segment,quasi case id,related object
0,high demand of products: Fire Stick,hd,232,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,,Fire Stick
1,high demand of employees: Mahsa Bafrani,hd,144,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,,Mahsa Bafrani
2,high demand of customers: Iberian Sun Solaridades SA,hd,32,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,,Iberian Sun Solaridades SA
3,high load of object type orders,hl,159,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,,orders
4,high load of object type items,hl,657,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,,items
5,high load of object type packages,hl,69,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,,packages
6,high load (over all object types),hol,1460,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,,
7,object Echo Plus leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,2.0,Echo Plus
8,object type packages leaves the process in activity package delivered,tl,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,2.0,packages
9,object iPad leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,2.0,iPad
10,object type items leaves the process in activity package delivered,tl,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,2.0,items
11,object Alessandro Berti leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,2.0,Alessandro Berti
12,object type orders leaves the process in activity pay order,tl,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,orders
13,object iPhone X leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,iPhone X
14,object Echo Dot leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,Echo Dot
15,object Majid Rafiei leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,Majid Rafiei
16,object iPhone 8 leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,iPhone 8
17,object MacBook Air leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,MacBook Air
18,object Mara Nitschke leaves the process in activity confirm order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,Mara Nitschke
19,object Echo Show 8 leaves the process in activity pay order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,Echo Show 8
20,object iPhone 11 Pro leaves the process in activity pay order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,iPhone 11 Pro
21,high lagging time of object ['iPad Pro'] for activity place order,lt,1 days 02:41:13,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,['iPad Pro']
22,"object join in activity place order with objects ['iPad Pro', 'Kindle Paperwhite', 'Eastern Oak Insurance Zrt.']",j,3,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,10.0,"['iPad Pro', 'Kindle Paperwhite', 'Eastern Oak Insurance Zrt.']"
23,object Echo Plus leaves the process in activity confirm order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,Echo Plus
24,object Echo Show 8 leaves the process in activity confirm order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,Echo Show 8
25,object iPhone 11 Pro leaves the process in activity confirm order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,iPhone 11 Pro
26,object iPhone 8 leaves the process in activity confirm order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,iPhone 8
27,object Christine von Dobbert leaves the process in activity confirm order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,Christine von Dobbert
28,object Kindle leaves the process in activity place order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,Kindle
29,object iPad mini leaves the process in activity place order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,iPad mini
30,object iPad Pro leaves the process in activity place order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,iPad Pro
31,object iPad leaves the process in activity place order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,iPad
32,object Kindle Paperwhite leaves the process in activity place order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,Kindle Paperwhite
33,high lagging time of object ['iPad Air'] for activity place order,lt,25 days 03:31:14,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,['iPad Air']
34,"object join in activity place order with objects ['iPad Air', 'MacBook Air', 'Fire Stick', 'Iberian Sun Solaridades SA']",j,4,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,14.0,"['iPad Air', 'MacBook Air', 'Fire Stick', 'Iberian Sun Solaridades SA']"
35,object Echo Plus leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Echo Plus
36,object Kindle leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Kindle
37,object iPad mini leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,iPad mini
38,object iPad leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,iPad
39,object Majid Rafiei leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Majid Rafiei
40,object Kindle Paperwhite leaves the process in activity package delivered,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Kindle Paperwhite
41,high lagging time of object ['Majid Rafiei'] for activity package delivered,lt,0 days 00:00:00,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,['Majid Rafiei']
42,object Echo Plus joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Echo Plus
43,object Echo joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Echo
44,object Echo Show 5 joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Echo Show 5
45,object Echo Show 8 joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Echo Show 8
46,object Kindle joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Kindle
47,object iPad mini joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,iPad mini
48,object iPad joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,iPad
49,object Kindle Paperwhite joins the process in activity package delivered,oj,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,Kindle Paperwhite
50,"high lagging time of object ['Echo', 'Echo Show 5', 'Echo Show 8'] for activity pay order",lt,0 days 00:00:00,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,36.0,"['Echo', 'Echo Show 5', 'Echo Show 8']"
51,object Fire Stick leaves the process in activity pay order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,62.0,Fire Stick
52,object Kindle Paperwhite leaves the process in activity pay order,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,62.0,Kindle Paperwhite
53,object iPhone X leaves the process in activity pick item,ol,1,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,62.0,iPhone X
54,high lagging time of object ['MacBook Pro'] for activity item out of stock,lt,0 days 00:44:48,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,62.0,['MacBook Pro']
55,"object join in activity item out of stock with objects ['MacBook Pro', 'Nina Graves']",j,2,2023-05-15 21:51:52.671,2023-05-16 08:08:40.900,100,62.0,"['MacBook Pro', 'Nina Graves']"
